country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
EC,Ecuador,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,4mm/20cm,52390,39.0,60.0,pulsera-cubana-hombre--4mm-20cm
EC,Ecuador,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,6mm/20cm,52395,42.0,66.0,pulsera-cubana-hombre--6mm-20cm
EC,Ecuador,pulsera-cubana-hombre,Pulsera Cubana Hombre,Grosor,8mm/20cm,52397,55.0,79.0,pulsera-cubana-hombre--8mm-20cm
EC,Ecuador,pulsera-egipcia-hombre,Pulsera Egipcia Hombre,Medida,4mm/20cm,53493,40.0,60.0,pulsera-egipcia-hombre--4mm-20cm
EC,Ecuador,pulsera-egipcia-hombre,Pulsera Egipcia Hombre,Medida,6mm/20cm,,44.0,66.0,pulsera-egipcia-hombre--6mm-20cm
EC,Ecuador,pulsera-franco-hombre,Pulsera Franco Hombre,Medida,4mm/20cm,53195,45.0,60.0,pulsera-franco-hombre--4mm-20cm
EC,Ecuador,pulsera-franco-hombre,Pulsera Franco Hombre,Medida,6mm/20cm,53200,49.0,65.0,pulsera-franco-hombre--6mm-20cm
EC,Ecuador,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,4mm/20cm,51189,39.0,60.0,pulsera-grabada-hombre--4mm-20cm
EC,Ecuador,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,6mm/20cm,51200,42.0,66.0,pulsera-grabada-hombre--6mm-20cm
EC,Ecuador,pulsera-grabada-hombre,Pulsera Grabada Hombre,Medida,8mm/20cm,51220,55.0,79.0,pulsera-grabada-hombre--8mm-20cm
EC,Ecuador,pulsera-granocafe-hombre,Pulsera Grano de Café Hombre,Grosor,6mm/20cm,52900,49.0,66.0,pulsera-granocafe-hombre--6mm-20cm
EC,Ecuador,pulsera-granocafe-hombre,Pulsera Grano de Café Hombre,Grosor,7mm/20cm,52925,55.0,75.0,pulsera-granocafe-hombre--7mm-20cm
EC,Ecuador,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,4mm/20cm,52793,39.0,60.0,pulsera-lazo-hombre--4mm-20cm
EC,Ecuador,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,6mm/20cm,52800,42.0,66.0,pulsera-lazo-hombre--6mm-20cm
EC,Ecuador,pulsera-lazo-hombre,Pulsera Lazo Hombre,Medida,8mm/20cm,52830,55.0,79.0,pulsera-lazo-hombre--8mm-20cm
EC,Ecuador,pulsera-rustica-hombre,Pulsera Rustica Hombre,Medida,4mm/20cm,52598,42.0,60.0,pulsera-rustica-hombre--4mm-20cm
EC,Ecuador,pulsera-rustica-hombre,Pulsera Rustica Hombre,Medida,6mm/20cm,52600,45.0,66.0,pulsera-rustica-hombre--6mm-20cm
EC,Ecuador,pulsera-san-benito-protector,Pulsera San Benito Protector,Medida,Grande,,49.0,89.0,pulsera-san-benito-protector--grande
