Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cadena-cubana-dije-virgen-milagrosa,Cadena Cubana + Dije Virgen Guadalupe,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42395 - 26953,500.0,shopify,continue,manual,82600,118000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0539.jpg?v=1784480533,1,"",false,,,,kg,,,active
cadena-cubana-dije-virgen-milagrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0548.jpg?v=1784480507,2,"",,,,,,,,
cadena-cubana-dije-virgen-milagrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_cubana_6mm.png?v=1780601870,3,"",,,,,,,,
cadena-cubana-dije-madero,Cadena Cubana + Dije Madero,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42395 - 25444,500.0,shopify,continue,manual,82600,118000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0593.jpg?v=1784480354,1,"",false,,,,kg,,,active
cadena-cubana-dije-madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_cubana_6mm.png?v=1780601870,2,"",,,,,,,,
cadena-cubana-dije-madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DIJE_CRUZ_MADERO.png?v=1782306382,3,"",,,,,,,,
cadena-lazo-dije-madero,Cadena Lazo + Dije Madero,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42793 - 25444,500.0,shopify,continue,manual,80500,115000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0526.jpg?v=1784478376,1,"",false,,,,kg,,,active
cadena-lazo-dije-madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0515.jpg?v=1784478480,2,"",,,,,,,,
cadena-lazo-dije-madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0519.jpg?v=1784478429,3,"",,,,,,,,
cadena-lazo-dije-madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_lazo_4mm.png?v=1780455123,4,"",,,,,,,,
