pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
COLOMBIA,CO,Cadena Rustica Hombre,(vacío),cadena-rustica-hombre,248500.0,sin_sku,C. RUSTICA 4mm  65cm,42598,0.4,173600
COLOMBIA,CO,Cadena Serpiente Hombre,(vacío),cadena-serpiente-hombre,227500.0,sin_sku,C. SERPIENTE 4mm  65cm,42287,0.4,112800.00000000001
COLOMBIA,CO,Cadena Singapur Hombre,44543,cadena-singapur,134925.0,nombre_ambiguo_o_bajo,C. SINGAPUR 2mm 45cm,44539,0.4,45120.00000000001
COLOMBIA,CO,Cadena Veneciana Hombre,(vacío),cadena-veneciana-hombre,179900.0,sin_sku,C. VENECIANA 2mm  45cm,42687,0.4,72400
COLOMBIA,CO,Combo Veneciana Mujer,42687 - 52687,combo-veneciana-mujer,142425.0,sku_compuesto,C. VENECIANA 2mm  45cm,42687,0.17,72400
COLOMBIA,CO,Pulsera Balín #5 Italiana ( EL PAR),(vacío),pulsera-balin-5-italiana-el-par,149000.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.12,74399.99999999999
COLOMBIA,CO,Pulsera Balín #5 Italiana y Lisa,(vacío),pulsera-balin-5-italiana-y-lisa,199900.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.12,74399.99999999999
COLOMBIA,CO,Pulsera Balín #5 Italiana y Lisa + Neopreno,(vacío),pulsera-balin-5-italiana-y-lisa-neopreno,159000.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.11,74399.99999999999
COLOMBIA,CO,Pulsera Chinesca Edición Limitada Hombre,(vacío),pulsera-chinesca-edicion-limitada-hombre,139900.0,sin_sku,P. CHINESCA 3mm  18cm,54798,0.29,58800.000000000015
COLOMBIA,CO,Pulsera Chinesca Mujer,(vacío),pulsera-chinesca-mujer,105000.0,sin_sku,P. CHINESCA 3mm  18cm,54798,0.4,58800.000000000015
COLOMBIA,CO,Pulsera Cubana Continua Hombre,(vacío),pulsera-cubana-continua-hombre,105000.0,sin_sku,P. CUBANA CONTINUA 4mm  18cm,53588,0.5,84000
COLOMBIA,CO,Pulsera Cubana Hombre,(vacío),pulsera-cubana-hombre,114800.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.4,88400
COLOMBIA,CO,Pulsera Cubana Mujer,(vacío),pulsera-cubana-mujer,89950.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.4,88400
